,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,marketChannelDirectedness,farmGatePricePerKg
0,AMAZONAS,CHACHAPOYAS,LA JALCA,5517,113,13,0.30435841246652057,0.3510716925351072,0.125,2.17,0.183,2.03,0,0,0,0,0.0116,0.05,1.17,0.0,0.0,2,1,1.9
1,AMAZONAS,CHACHAPOYAS,LEVANTO,5507,61,9,0.9505703422053232,0.9880028228652082,0.5813953488372092,2.14,0.098,2.03,0,0,0,0,0.01024,0.0875,1.95,1.0,0.0,2,2,0.8
2,AMAZONAS,LUYA,CONILA,5413,14,2,1.0,1.0,1.0,2.12,0.52,2.03,1,0,0,0,0.04805,0.06,1.4,0.0,0.0,2,2,0.8
3,AMAZONAS,LUYA,LAMUD,5425,62,10,0.7838867719107242,0.7051633628457259,0.5,2.1,0.12,2.03,0,0,0,0,0.0364,0.09,1.05,0.0,0.0,2,2,1.0
4,AMAZONAS,LUYA,LUYA,5430,14,1,1.0,1.0,1.0,2.18,0.092,2.03,1,0,0,0,0.05025,0.0675,1.6,0.0,0.0,2,2,0.52
5,AMAZONAS,LUYA,LUYA,5430,87,8,0.6451612903225806,0.6993006993006993,0.6818181818181818,2.18,0.092,2.03,0,0,0,0,0.05025,0.05,1.6666666666666667,0.0,0.0,2,2,1.0
6,AMAZONAS,LUYA,LUYA,5430,115,11,0.4482758620689655,0.18840579710144928,0.5555555555555556,2.18,0.092,2.03,1,0,0,0,0.05025,0.065,1.6,0.0,0.0,2,2,0.4
7,AMAZONAS,LUYA,SAN JERÓNIMO,5422,36,4,0.9427275304791608,0.8598598598598599,0.5625,2.07,0.188,2.03,1,1,0,0,0.00665,0.0665,2.155555555555556,0.0,0.0,2,2,1.9
8,APURIMAC,ABANCAY,HUANIPACA,14983,97,12,0.992063492063492,0.9375,0.7317073170731707,1.84,0.187,1.65,1,0,0,0,0.05807999999999999,0.05,2.333333333333333,0.0,0.0,2,2,1.2
9,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,14781,71,11,0.8333333333333334,0.6129032258064516,0.5625,1.33,0.312,1.65,1,1,0,0,0.1594035,0.07200000000000001,2.0,0.0,1.52,1,2,1.2888888888888888
10,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,14795,15,3,0.9714285714285714,0.7956795679567957,0.68,1.33,0.312,1.65,0,0,0,0,0.1594035,0.051,0.1764705882352941,0.0,1.52,1,3,0.3466666666666667
11,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,14795,79,10,0.9287531806615776,0.6616825252982933,0.4984025559105432,1.33,0.312,1.65,1,0,0,0,0.1594035,0.073,1.1538461538461535,0.0,1.52,1,2,1.3199999999999998
12,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,14798,28,4,0.8638343820977771,0.4449458483754513,0.4384057971014493,1.33,0.312,1.65,1,1,1,1,0.1594035,0.057999999999999996,1.256198347107438,0.0,1.52,1,3,0.51
13,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,14798,70,11,0.564622641509434,0.4923300500565154,0.4764705882352941,1.33,0.312,1.65,1,0,0,0,0.1594035,0.05985,1.2314814814814814,1.0,1.52,2,1,1.0210526315789474
