,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,simplifiedMarketChannelDirectedness,farmGatePricePerKg
0,AMAZONAS,BONGARA,FLORIDA,5370,8,2,0.2711864406779661,0.22939068100358426,0.2,2.09,0.22799999999999998,2.0300000000000002,0,0,0,0,0.0004,0.004,1.0714285714285714,0.0,0.0,1,2,0.8
1,AMAZONAS,BONGARA,YAMBRASBAMBA,5362,19,3,0.01653439153439153,0.029691211401425176,0.36764705882352944,2.09,0.22999999999999998,2.0300000000000002,0,0,0,0,0.00125,0.0125,1.48,0.0,0.0,2,1,0.4
2,AMAZONAS,CHACHAPOYAS,CHILIQUIN,5490,142,14,0.41503616743744814,0.1193724420190996,0.4117647058823529,2.2600000000000002,0.248,2.0300000000000002,1,0,0,0,0.005,0.035,2.7142857142857144,0.0,0.0,1,2,0.4
3,AMAZONAS,CHACHAPOYAS,CHILIQUIN,5491,101,13,1.0,1.0,1.0,2.2600000000000002,0.248,2.0300000000000002,1,0,0,0,0.005,0.015,2.0,0.0,0.0,2,1,0.5
4,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,5532,45,4,0.9090909090909092,0.9090909090909092,0.35714285714285715,1.98,0.638,2.0300000000000002,1,0,0,0,0.0001,0.001,2.0,0.0,0.0,1,2,0.8
5,AMAZONAS,CHACHAPOYAS,LA JALCA,5516,138,14,0.6666666666666666,0.8333333333333334,0.5649717514124294,2.17,0.183,2.0300000000000002,0,0,0,0,0.0116,0.015,1.25,0.0,0.0,2,1,1.5
6,AMAZONAS,CHACHAPOYAS,LA JALCA,5517,36,4,0.7621951219512195,0.23515579071134626,0.13204225352112675,2.17,0.183,2.0300000000000002,0,0,0,0,0.0116,0.01,1.0,0.0,0.0,2,1,0.4
7,AMAZONAS,CHACHAPOYAS,LA JALCA,5517,86,10,0.0010807222312282409,0.004705793773293679,0.09433962264150944,2.17,0.183,2.0300000000000002,0,0,0,0,0.0116,0.007,0.5833333333333334,0.0,0.0,2,1,0.7142857142857143
8,AMAZONAS,CHACHAPOYAS,LA JALCA,5517,113,13,0.30435841246652057,0.3510716925351072,0.125,2.17,0.183,2.0300000000000002,0,0,0,0,0.0116,0.05,1.17,0.0,0.0,2,1,1.9
9,AMAZONAS,CHACHAPOYAS,LA JALCA,5518,16,3,0.0626118067978533,0.1330166270783848,0.2540650406504065,2.17,0.183,2.0300000000000002,0,0,0,0,0.0116,0.014,0.7,0.0,0.0,2,1,0.4
10,AMAZONAS,CHACHAPOYAS,LA JALCA,5518,77,14,1.0,1.0,1.0,2.17,0.183,2.0300000000000002,0,0,0,0,0.0116,0.02,2.15,0.0,0.0,2,1,1.6
11,AMAZONAS,CHACHAPOYAS,LEVANTO,5507,8,1,0.10209675208989996,0.09809485204702068,0.10854341736694677,2.1399999999999997,0.098,2.0300000000000002,0,0,0,0,0.01024,0.0149,1.032258064516129,1.0,0.0,2,1,1.8
12,AMAZONAS,CHACHAPOYAS,LEVANTO,5507,61,9,0.9505703422053232,0.9880028228652082,0.5813953488372092,2.1399999999999997,0.098,2.0300000000000002,0,0,0,0,0.01024,0.0875,1.95,1.0,0.0,2,1,0.8
13,AMAZONAS,LUYA,COLCAMAR,5453,68,5,0.3816793893129771,0.05504587155963303,0.3333333333333333,2.13,0.10300000000000001,2.0300000000000002,1,1,1,1,0.0001,0.001,0.5,0.0,0.0,1,2,0.6
