,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,simplifiedMarketChannelDirectedness,farmGatePricePerKg
0,AMAZONAS,LUYA,CONILA,5412,52,8,0.4307692307692308,0.3124750896771622,0.5538461538461538,2.12,0.52,2.03,0,0,0,0,0.04805,0.14,1.844444444444444,0.0,0.0,2,1,1.04
1,AMAZONAS,LUYA,CONILA,5412,60,9,0.5294117647058824,0.7623762376237624,1.0,2.12,0.52,2.03,0,0,0,0,0.04805,0.1125,2.8,0.0,0.0,2,1,1.8
2,AMAZONAS,LUYA,LAMUD,5425,14,2,1.0,1.0,0.5439709882139621,2.1,0.12,2.03,0,0,0,0,0.0364,0.1,1.725,0.0,0.0,2,1,0.6
3,AMAZONAS,LUYA,LAMUD,5425,75,11,0.7516198704103672,0.7711781888997079,0.4444444444444444,2.1,0.12,2.03,0,0,0,0,0.0364,0.174,3.85,0.0,0.0,2,1,1.36
4,AMAZONAS,LUYA,LUYA,5434,124,13,0.9405940594059404,0.9171974522292994,0.6578947368421053,2.18,0.092,2.03,1,0,0,0,0.05025,0.19,1.64,0.0,0.0,2,1,1.5
5,ANCASH,AIJA,AIJA,9480,94,11,0.8536585365853658,0.7887323943661971,0.25839793281653745,0.76,0.2,0.6769999999999999,0,0,0,0,0.035112,0.21,1.1,0.0,0.0,1,1,0.8
6,ANCASH,AIJA,AIJA,9480,121,14,0.8970251716247142,0.828752642706131,0.3736222678871661,0.76,0.2,0.6769999999999999,0,0,0,0,0.035112,0.14112,0.8640000000000001,0.0,0.0,1,1,0.5555555555555556
7,ANCASH,HUAYLAS,SANTA CRUZ,8338,126,13,0.6541592920353982,0.7830508474576271,0.4426229508196721,0.928,0.262,0.6769999999999999,0,0,0,0,0.02646,0.22175999999999998,1.0186666666666666,0.0,0.0,1,2,2.083333333333333
8,ANCASH,SANTA,CHIMBOTE,8246,33,5,0.29234737747205497,0.3566433566433567,0.27007299270072993,0.657,0.405,0.6769999999999999,1,0,0,0,0.051,0.51,1.4054054054054053,0.0,0.0,2,1,1.3
9,APURIMAC,ABANCAY,CURAHUASI,14995,55,5,0.5534284075985424,0.5410345457868763,0.22556774687420264,1.81,0.16499999999999998,1.65,1,1,0,0,0.021515,0.1496,2.3981900452488687,0.0,0.09,2,2,2.2
10,APURIMAC,ABANCAY,HUANIPACA,14983,86,10,0.9142857142857144,0.8474576271186439,0.7619047619047619,1.84,0.187,1.65,0,0,1,1,0.05807999999999999,0.4,1.653125,0.0,0.0,2,1,1.5
11,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,14781,34,6,0.9210526315789472,0.8758568164508759,0.4666666666666666,1.33,0.312,1.65,1,0,0,0,0.1594035,0.11199999999999999,1.7142857142857144,0.0,1.52,1,1,1.4375
12,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,14799,37,5,0.4617809298660362,0.3517406962785114,0.3296703296703297,1.33,0.312,1.65,1,1,0,0,0.1594035,0.2344,1.6,1.0,1.52,1,2,0.625
13,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,14799,50,7,0.8881922675026124,0.4982415005861665,0.5,1.33,0.312,1.65,1,1,0,0,0.1594035,0.17,2.0,0.0,1.52,1,1,0.5
14,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,14799,70,9,0.3803672511390308,0.3007051016175861,0.14285714285714285,1.33,0.312,1.65,1,1,1,1,0.1594035,0.13775,2.85,0.0,1.52,1,2,0.5263157894736842
15,APURIMAC,ANDAHUAYLAS,HUANCARAY,14881,51,5,0.8288288288288288,0.7239358420727946,0.390625,1.45,0.435,1.65,1,0,0,0,0.04253,0.23,2.7715,0.0,0.0,1,1,1.2245217391304348
16,APURIMAC,ANDAHUAYLAS,KISHUARA,14696,74,8,0.4630872483221477,0.5172413793103449,0.5,1.42,0.215,1.65,1,0,0,0,0.072401,0.1035,1.3386,0.0,0.0,2,1,0.7826086956521741
17,APURIMAC,ANDAHUAYLAS,KISHUARA,14696,129,14,0.6443990978412629,0.6918895173246938,0.3636363636363637,1.42,0.215,1.65,1,0,0,0,0.072401,0.12,2.89,0.0,0.0,2,1,1.05
18,APURIMAC,ANDAHUAYLAS,PACUCHA,14716,4,1,1.0,1.0,0.9090909090909092,1.37,0.303,1.65,1,1,0,0,0.21847800000000003,0.1455,1.0205882352941176,1.0,0.0,1,1,0.5
19,APURIMAC,ANDAHUAYLAS,PACUCHA,14716,24,4,0.9768637532133676,0.8878504672897196,0.7109004739336493,1.37,0.303,1.65,1,1,1,1,0.21847800000000003,0.38,1.4,0.0,0.0,1,1,0.5
20,APURIMAC,ANDAHUAYLAS,PACUCHA,14716,28,5,1.0,1.0,0.9523809523809524,1.37,0.303,1.65,1,1,1,1,0.21847800000000003,0.10099999999999999,2.31,0.0,0.0,1,1,0.5
21,APURIMAC,ANDAHUAYLAS,PACUCHA,14716,83,12,1.0,1.0,0.972762645914397,1.37,0.303,1.65,1,1,1,1,0.21847800000000003,0.14,1.36,0.0,0.0,1,1,0.5
22,APURIMAC,ANDAHUAYLAS,PACUCHA,14716,85,13,1.0,1.0,0.5172413793103449,1.37,0.303,1.65,1,1,1,1,0.21847800000000003,0.1125,1.584,0.0,0.0,1,2,0.5
