,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,localMarketChannelDirectedness,farmGatePricePerKg
0,AMAZONAS,LUYA,CONILA,5412,52,8,0.4307692307692308,0.3124750896771622,0.5538461538461538,2.12,0.52,2.03,0,0,0,0,0.04805,0.14,1.844444444444444,0.0,0.0,2,2.0,1.04
1,AMAZONAS,LUYA,CONILA,5412,60,9,0.5294117647058824,0.7623762376237624,1.0,2.12,0.52,2.03,0,0,0,0,0.04805,0.1125,2.8,0.0,0.0,2,2.0,1.8
2,AMAZONAS,LUYA,LAMUD,5425,14,2,1.0,1.0,0.5439709882139621,2.1,0.12,2.03,0,0,0,0,0.0364,0.1,1.725,0.0,0.0,2,2.0,0.6
3,AMAZONAS,LUYA,LAMUD,5425,75,11,0.7516198704103672,0.7711781888997079,0.4444444444444444,2.1,0.12,2.03,0,0,0,0,0.0364,0.174,3.85,0.0,0.0,2,2.0,1.36
4,AMAZONAS,LUYA,LUYA,5434,124,13,0.9405940594059404,0.9171974522292994,0.6578947368421053,2.18,0.092,2.03,1,0,0,0,0.05025,0.19,1.64,0.0,0.0,2,2.0,1.5
5,ANCASH,AIJA,AIJA,9480,94,11,0.8536585365853658,0.7887323943661971,0.25839793281653745,0.76,0.2,0.6769999999999999,0,0,0,0,0.035112,0.21,1.1,0.0,0.0,1,1.0,0.8
6,ANCASH,AIJA,AIJA,9480,121,14,0.8970251716247142,0.828752642706131,0.3736222678871661,0.76,0.2,0.6769999999999999,0,0,0,0,0.035112,0.14112,0.8640000000000001,0.0,0.0,1,1.0,0.5555555555555556
7,ANCASH,SANTA,CHIMBOTE,8246,33,5,0.29234737747205497,0.3566433566433567,0.27007299270072993,0.657,0.405,0.6769999999999999,1,0,0,0,0.051,0.51,1.4054054054054053,0.0,0.0,2,2.0,1.3
8,APURIMAC,ABANCAY,HUANIPACA,14983,86,10,0.9142857142857144,0.8474576271186439,0.7619047619047619,1.84,0.187,1.65,0,0,1,1,0.05807999999999999,0.4,1.653125,0.0,0.0,2,2.0,1.5
9,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,14781,34,6,0.9210526315789472,0.8758568164508759,0.4666666666666666,1.33,0.312,1.65,1,0,0,0,0.1594035,0.11199999999999999,1.7142857142857144,0.0,1.52,1,2.0,1.4375
10,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,14799,50,7,0.8881922675026124,0.4982415005861665,0.5,1.33,0.312,1.65,1,1,0,0,0.1594035,0.17,2.0,0.0,1.52,1,2.0,0.5
11,APURIMAC,ANDAHUAYLAS,HUANCARAY,14881,51,5,0.8288288288288288,0.7239358420727946,0.390625,1.45,0.435,1.65,1,0,0,0,0.04253,0.23,2.7715,0.0,0.0,1,1.0,1.2245217391304348
12,APURIMAC,ANDAHUAYLAS,KISHUARA,14696,74,8,0.4630872483221477,0.5172413793103449,0.5,1.42,0.215,1.65,1,0,0,0,0.072401,0.1035,1.3386,0.0,0.0,2,2.0,0.7826086956521741
13,APURIMAC,ANDAHUAYLAS,KISHUARA,14696,129,14,0.6443990978412629,0.6918895173246938,0.3636363636363637,1.42,0.215,1.65,1,0,0,0,0.072401,0.12,2.89,0.0,0.0,2,2.0,1.05
14,APURIMAC,ANDAHUAYLAS,PACUCHA,14716,4,1,1.0,1.0,0.9090909090909092,1.37,0.303,1.65,1,1,0,0,0.21847800000000003,0.1455,1.0205882352941176,1.0,0.0,1,2.0,0.5
15,APURIMAC,ANDAHUAYLAS,PACUCHA,14716,24,4,0.9768637532133676,0.8878504672897196,0.7109004739336493,1.37,0.303,1.65,1,1,1,1,0.21847800000000003,0.38,1.4,0.0,0.0,1,2.0,0.5
16,APURIMAC,ANDAHUAYLAS,PACUCHA,14716,28,5,1.0,1.0,0.9523809523809524,1.37,0.303,1.65,1,1,1,1,0.21847800000000003,0.10099999999999999,2.31,0.0,0.0,1,2.0,0.5
17,APURIMAC,ANDAHUAYLAS,PACUCHA,14716,83,12,1.0,1.0,0.972762645914397,1.37,0.303,1.65,1,1,1,1,0.21847800000000003,0.14,1.36,0.0,0.0,1,2.0,0.5
18,APURIMAC,ANDAHUAYLAS,PACUCHA,14724,8,2,0.9969831053901852,0.9826709796672828,0.9517241379310344,1.37,0.303,1.65,1,0,0,0,0.21847800000000003,0.29741999999999996,1.420108695652174,0.0,0.0,2,2.0,1.311904761904762
19,APURIMAC,ANDAHUAYLAS,PACUCHA,14724,66,8,0.9848357203032856,0.9419858683525474,0.8271144278606966,1.37,0.303,1.65,1,1,1,1,0.21847800000000003,0.17535,1.6578947368421053,0.0,0.0,2,1.0,1.1238095238095238
20,APURIMAC,ANDAHUAYLAS,PACUCHA,14724,88,10,1.0,1.0,1.0,1.37,0.303,1.65,1,1,1,1,0.21847800000000003,0.145,1.5238095238095235,0.0,0.0,2,1.0,1.46
21,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,14751,77,9,1.0,1.0,0.998003992015968,1.34,0.303,1.65,1,0,0,0,0.166757,0.1748,0.8684799999999999,0.0,0.0,1,1.0,0.6956521739130435
22,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,14755,21,4,0.9481290560132554,0.6118811881188119,0.6938325991189427,1.34,0.303,1.65,1,0,0,0,0.166757,0.10300000000000001,1.8412698412698412,0.0,0.0,1,2.0,0.63
23,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,14755,60,11,0.8902439024390244,0.8155737704918032,0.4594594594594594,1.34,0.303,1.65,1,0,0,0,0.166757,0.146,2.3294117647058816,0.0,0.0,1,1.0,0.99
24,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,14755,70,13,0.931098696461825,0.8482216030158991,0.5956112852664576,1.34,0.303,1.65,1,0,0,0,0.166757,0.115,1.5105263157894735,0.0,0.0,1,2.0,0.45
25,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,14762,109,13,1.0,1.0,1.0,1.34,0.303,1.65,0,0,0,0,0.166757,0.24,1.81875,0.0,0.0,2,2.0,0.9
26,APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,14842,25,5,0.9909798026014772,0.9578651685393258,0.79296875,1.26,0.373,1.65,1,0,0,0,0.1252165,0.15161,1.8309359605911333,0.0,0.02,1,2.0,1.4156521739130434
27,APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,14865,5,2,0.9415204678362572,0.9292035398230089,0.8108108108108109,1.26,0.373,1.65,1,0,0,0,0.1252165,0.322,0.2453333333333333,0.0,0.02,1,1.0,0.9782608695652174
28,APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,14865,61,10,1.0,1.0,1.0,1.26,0.373,1.65,1,0,0,0,0.1252165,0.344,2.080428954423593,0.0,0.02,1,1.0,3.03
29,APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,14870,84,11,0.8910129196873354,0.707395498392283,0.8,1.26,0.373,1.65,0,0,0,0,0.1252165,0.11,1.5,0.0,0.02,1,2.0,0.36
